dataset,kir,seed,comparison_method,gold_type,transition,count,rate,denominator
clinc150,0.25,42,single_centroid,oos,trainable_only_correct,131,0.028728070175438596,4560
clinc150,0.25,42,single_centroid,oos,comparison_only_correct,7,0.0015350877192982456,4560
clinc150,0.25,42,single_centroid,oos,both_incorrect,163,0.03574561403508772,4560
clinc150,0.25,42,fixed_k2,known,both_correct,763,0.6692982456140351,1140
clinc150,0.25,42,fixed_k2,known,trainable_only_correct,65,0.05701754385964912,1140
clinc150,0.25,42,fixed_k2,known,comparison_only_correct,75,0.06578947368421052,1140
clinc150,0.25,42,fixed_k2,known,both_incorrect,237,0.20789473684210527,1140
clinc150,0.25,42,fixed_k2,oos,both_correct,4303,0.943640350877193,4560
clinc150,0.25,42,fixed_k2,oos,trainable_only_correct,87,0.019078947368421053,4560
clinc150,0.25,42,fixed_k2,oos,comparison_only_correct,51,0.01118421052631579,4560
clinc150,0.25,42,fixed_k2,oos,both_incorrect,119,0.026096491228070177,4560
clinc150,0.25,42,random_partition,known,both_correct,807,0.7078947368421052,1140
clinc150,0.25,42,random_partition,known,trainable_only_correct,21,0.018421052631578946,1140
clinc150,0.25,42,random_partition,known,comparison_only_correct,66,0.05789473684210526,1140
clinc150,0.25,42,random_partition,known,both_incorrect,246,0.21578947368421053,1140
clinc150,0.25,42,random_partition,oos,both_correct,4233,0.9282894736842106,4560
clinc150,0.25,42,random_partition,oos,trainable_only_correct,157,0.03442982456140351,4560
clinc150,0.25,42,random_partition,oos,comparison_only_correct,6,0.0013157894736842105,4560
clinc150,0.25,42,random_partition,oos,both_incorrect,164,0.035964912280701755,4560
clinc150,0.25,42,mogb_minilm,known,both_correct,376,0.3298245614035088,1140
clinc150,0.25,42,mogb_minilm,known,trainable_only_correct,452,0.39649122807017545,1140
clinc150,0.25,42,mogb_minilm,known,comparison_only_correct,1,0.0008771929824561404,1140
clinc150,0.25,42,mogb_minilm,known,both_incorrect,311,0.27280701754385966,1140
clinc150,0.25,42,mogb_minilm,oos,both_correct,4390,0.9627192982456141,4560
clinc150,0.25,42,mogb_minilm,oos,trainable_only_correct,0,0.0,4560
clinc150,0.25,42,mogb_minilm,oos,comparison_only_correct,136,0.02982456140350877,4560
clinc150,0.25,42,mogb_minilm,oos,both_incorrect,34,0.007456140350877193,4560
clinc150,0.25,42,mogb_partition_ours_boundary,known,both_correct,597,0.5236842105263158,1140
clinc150,0.25,42,mogb_partition_ours_boundary,known,trainable_only_correct,231,0.2026315789473684,1140
clinc150,0.25,42,mogb_partition_ours_boundary,known,comparison_only_correct,11,0.009649122807017544,1140
clinc150,0.25,42,mogb_partition_ours_boundary,known,both_incorrect,301,0.26403508771929823,1140
clinc150,0.25,42,mogb_partition_ours_boundary,oos,both_correct,4369,0.9581140350877193,4560
clinc150,0.25,42,mogb_partition_ours_boundary,oos,trainable_only_correct,21,0.004605263157894736,4560
clinc150,0.25,42,mogb_partition_ours_boundary,oos,comparison_only_correct,90,0.019736842105263157,4560
clinc150,0.25,42,mogb_partition_ours_boundary,oos,both_incorrect,80,0.017543859649122806,4560
clinc150,0.25,42,ours_partition_mogb_boundary,known,both_correct,461,0.4043859649122807,1140
clinc150,0.25,42,ours_partition_mogb_boundary,known,trainable_only_correct,367,0.3219298245614035,1140
clinc150,0.25,42,ours_partition_mogb_boundary,known,comparison_only_correct,13,0.011403508771929825,1140
clinc150,0.25,42,ours_partition_mogb_boundary,known,both_incorrect,299,0.26228070175438595,1140
clinc150,0.25,42,ours_partition_mogb_boundary,oos,both_correct,4389,0.9625,4560
clinc150,0.25,42,ours_partition_mogb_boundary,oos,trainable_only_correct,1,0.0002192982456140351,4560
clinc150,0.25,42,ours_partition_mogb_boundary,oos,comparison_only_correct,137,0.030043859649122807,4560
clinc150,0.25,42,ours_partition_mogb_boundary,oos,both_incorrect,33,0.007236842105263158,4560
clinc150,0.25,87,single_centroid,known,both_correct,828,0.7263157894736842,1140
clinc150,0.25,87,single_centroid,known,trainable_only_correct,12,0.010526315789473684,1140
clinc150,0.25,87,single_centroid,known,comparison_only_correct,72,0.06315789473684211,1140
clinc150,0.25,87,single_centroid,known,both_incorrect,228,0.2,1140
clinc150,0.25,87,single_centroid,oos,both_correct,4212,0.9236842105263158,4560
clinc150,0.25,87,single_centroid,oos,trainable_only_correct,162,0.035526315789473684,4560
clinc150,0.25,87,single_centroid,oos,comparison_only_correct,6,0.0013157894736842105,4560
clinc150,0.25,87,single_centroid,oos,both_incorrect,180,0.039473684210526314,4560
clinc150,0.25,87,fixed_k2,known,both_correct,754,0.6614035087719298,1140
clinc150,0.25,87,fixed_k2,known,trainable_only_correct,86,0.07543859649122807,1140
clinc150,0.25,87,fixed_k2,known,comparison_only_correct,92,0.08070175438596491,1140
clinc150,0.25,87,fixed_k2,known,both_incorrect,208,0.1824561403508772,1140
clinc150,0.25,87,fixed_k2,oos,both_correct,4225,0.9265350877192983,4560
clinc150,0.25,87,fixed_k2,oos,trainable_only_correct,149,0.032675438596491226,4560
clinc150,0.25,87,fixed_k2,oos,comparison_only_correct,40,0.008771929824561403,4560
clinc150,0.25,87,fixed_k2,oos,both_incorrect,146,0.032017543859649125,4560
clinc150,0.25,87,random_partition,known,both_correct,825,0.7236842105263158,1140
clinc150,0.25,87,random_partition,known,trainable_only_correct,15,0.013157894736842105,1140
clinc150,0.25,87,random_partition,known,comparison_only_correct,74,0.06491228070175438,1140
clinc150,0.25,87,random_partition,known,both_incorrect,226,0.19824561403508772,1140
clinc150,0.25,87,random_partition,oos,both_correct,4206,0.9223684210526316,4560
clinc150,0.25,87,random_partition,oos,trainable_only_correct,168,0.03684210526315789,4560
clinc150,0.25,87,random_partition,oos,comparison_only_correct,8,0.0017543859649122807,4560
clinc150,0.25,87,random_partition,oos,both_incorrect,178,0.03903508771929825,4560
clinc150,0.25,87,mogb_minilm,known,both_correct,411,0.3605263157894737,1140
clinc150,0.25,87,mogb_minilm,known,trainable_only_correct,429,0.3763157894736842,1140
clinc150,0.25,87,mogb_minilm,known,comparison_only_correct,1,0.0008771929824561404,1140
clinc150,0.25,87,mogb_minilm,known,both_incorrect,299,0.26228070175438595,1140
clinc150,0.25,87,mogb_minilm,oos,both_correct,4373,0.9589912280701754,4560
clinc150,0.25,87,mogb_minilm,oos,trainable_only_correct,1,0.0002192982456140351,4560
clinc150,0.25,87,mogb_minilm,oos,comparison_only_correct,161,0.03530701754385965,4560
clinc150,0.25,87,mogb_minilm,oos,both_incorrect,25,0.005482456140350877,4560
clinc150,0.25,87,mogb_partition_ours_boundary,known,both_correct,665,0.5833333333333334,1140
clinc150,0.25,87,mogb_partition_ours_boundary,known,trainable_only_correct,175,0.15350877192982457,1140
clinc150,0.25,87,mogb_partition_ours_boundary,known,comparison_only_correct,7,0.0061403508771929825,1140
clinc150,0.25,87,mogb_partition_ours_boundary,known,both_incorrect,293,0.25701754385964914,1140
clinc150,0.25,87,mogb_partition_ours_boundary,oos,both_correct,4365,0.9572368421052632,4560
clinc150,0.25,87,mogb_partition_ours_boundary,oos,trainable_only_correct,9,0.001973684210526316,4560
clinc150,0.25,87,mogb_partition_ours_boundary,oos,comparison_only_correct,93,0.020394736842105264,4560
clinc150,0.25,87,mogb_partition_ours_boundary,oos,both_incorrect,93,0.020394736842105264,4560
clinc150,0.25,87,ours_partition_mogb_boundary,known,both_correct,477,0.41842105263157897,1140
clinc150,0.25,87,ours_partition_mogb_boundary,known,trainable_only_correct,363,0.31842105263157894,1140
clinc150,0.25,87,ours_partition_mogb_boundary,known,comparison_only_correct,14,0.012280701754385965,1140
clinc150,0.25,87,ours_partition_mogb_boundary,known,both_incorrect,286,0.25087719298245614,1140
clinc150,0.25,87,ours_partition_mogb_boundary,oos,both_correct,4365,0.9572368421052632,4560
clinc150,0.25,87,ours_partition_mogb_boundary,oos,trainable_only_correct,9,0.001973684210526316,4560
clinc150,0.25,87,ours_partition_mogb_boundary,oos,comparison_only_correct,112,0.02456140350877193,4560
clinc150,0.25,87,ours_partition_mogb_boundary,oos,both_incorrect,74,0.016228070175438595,4560
clinc150,0.25,100,single_centroid,known,both_correct,825,0.7236842105263158,1140
clinc150,0.25,100,single_centroid,known,trainable_only_correct,29,0.02543859649122807,1140
clinc150,0.25,100,single_centroid,known,comparison_only_correct,75,0.06578947368421052,1140
clinc150,0.25,100,single_centroid,known,both_incorrect,211,0.1850877192982456,1140
clinc150,0.25,100,single_centroid,oos,both_correct,4376,0.9596491228070175,4560
clinc150,0.25,100,single_centroid,oos,trainable_only_correct,120,0.02631578947368421,4560
clinc150,0.25,100,single_centroid,oos,comparison_only_correct,2,0.0004385964912280702,4560
clinc150,0.25,100,single_centroid,oos,both_incorrect,62,0.013596491228070176,4560
clinc150,0.25,100,fixed_k2,known,both_correct,776,0.6807017543859649,1140
clinc150,0.25,100,fixed_k2,known,trainable_only_correct,78,0.06842105263157895,1140
clinc150,0.25,100,fixed_k2,known,comparison_only_correct,75,0.06578947368421052,1140
clinc150,0.25,100,fixed_k2,known,both_incorrect,211,0.1850877192982456,1140
clinc150,0.25,100,fixed_k2,oos,both_correct,4431,0.9717105263157895,4560
clinc150,0.25,100,fixed_k2,oos,trainable_only_correct,65,0.01425438596491228,4560
clinc150,0.25,100,fixed_k2,oos,comparison_only_correct,16,0.0035087719298245615,4560
clinc150,0.25,100,fixed_k2,oos,both_incorrect,48,0.010526315789473684,4560
clinc150,0.25,100,random_partition,known,both_correct,833,0.730701754385965,1140
clinc150,0.25,100,random_partition,known,trainable_only_correct,21,0.018421052631578946,1140
clinc150,0.25,100,random_partition,known,comparison_only_correct,90,0.07894736842105263,1140
clinc150,0.25,100,random_partition,known,both_incorrect,196,0.17192982456140352,1140
clinc150,0.25,100,random_partition,oos,both_correct,4387,0.9620614035087719,4560
clinc150,0.25,100,random_partition,oos,trainable_only_correct,109,0.023903508771929826,4560
clinc150,0.25,100,random_partition,oos,comparison_only_correct,5,0.0010964912280701754,4560
clinc150,0.25,100,random_partition,oos,both_incorrect,59,0.01293859649122807,4560
clinc150,0.25,100,mogb_minilm,known,both_correct,431,0.3780701754385965,1140
clinc150,0.25,100,mogb_minilm,known,trainable_only_correct,423,0.37105263157894736,1140
clinc150,0.25,100,mogb_minilm,known,comparison_only_correct,3,0.002631578947368421,1140
clinc150,0.25,100,mogb_minilm,known,both_incorrect,283,0.2482456140350877,1140
clinc150,0.25,100,mogb_minilm,oos,both_correct,4491,0.9848684210526316,4560
clinc150,0.25,100,mogb_minilm,oos,trainable_only_correct,5,0.0010964912280701754,4560
clinc150,0.25,100,mogb_minilm,oos,comparison_only_correct,54,0.011842105263157895,4560
clinc150,0.25,100,mogb_minilm,oos,both_incorrect,10,0.0021929824561403508,4560
clinc150,0.25,100,mogb_partition_ours_boundary,known,both_correct,673,0.5903508771929824,1140
clinc150,0.25,100,mogb_partition_ours_boundary,known,trainable_only_correct,181,0.1587719298245614,1140
clinc150,0.25,100,mogb_partition_ours_boundary,known,comparison_only_correct,19,0.016666666666666666,1140
clinc150,0.25,100,mogb_partition_ours_boundary,known,both_incorrect,267,0.23421052631578948,1140
clinc150,0.25,100,mogb_partition_ours_boundary,oos,both_correct,4472,0.980701754385965,4560
clinc150,0.25,100,mogb_partition_ours_boundary,oos,trainable_only_correct,24,0.005263157894736842,4560
clinc150,0.25,100,mogb_partition_ours_boundary,oos,comparison_only_correct,31,0.006798245614035088,4560
clinc150,0.25,100,mogb_partition_ours_boundary,oos,both_incorrect,33,0.007236842105263158,4560
clinc150,0.25,100,ours_partition_mogb_boundary,known,both_correct,484,0.4245614035087719,1140
clinc150,0.25,100,ours_partition_mogb_boundary,known,trainable_only_correct,370,0.32456140350877194,1140
clinc150,0.25,100,ours_partition_mogb_boundary,known,comparison_only_correct,6,0.005263157894736842,1140
clinc150,0.25,100,ours_partition_mogb_boundary,known,both_incorrect,280,0.24561403508771928,1140
clinc150,0.25,100,ours_partition_mogb_boundary,oos,both_correct,4494,0.9855263157894737,4560
clinc150,0.25,100,ours_partition_mogb_boundary,oos,trainable_only_correct,2,0.0004385964912280702,4560
clinc150,0.25,100,ours_partition_mogb_boundary,oos,comparison_only_correct,47,0.01030701754385965,4560
clinc150,0.25,100,ours_partition_mogb_boundary,oos,both_incorrect,17,0.0037280701754385964,4560
clinc150,0.25,123,single_centroid,known,both_correct,796,0.6982456140350877,1140
clinc150,0.25,123,single_centroid,known,trainable_only_correct,39,0.034210526315789476,1140
clinc150,0.25,123,single_centroid,known,comparison_only_correct,86,0.07543859649122807,1140
clinc150,0.25,123,single_centroid,known,both_incorrect,219,0.19210526315789472,1140
clinc150,0.25,123,single_centroid,oos,both_correct,4250,0.9320175438596491,4560
clinc150,0.25,123,single_centroid,oos,trainable_only_correct,130,0.02850877192982456,4560
clinc150,0.25,123,single_centroid,oos,comparison_only_correct,9,0.001973684210526316,4560
clinc150,0.25,123,single_centroid,oos,both_incorrect,171,0.0375,4560
clinc150,0.25,123,fixed_k2,known,both_correct,753,0.6605263157894737,1140
clinc150,0.25,123,fixed_k2,known,trainable_only_correct,82,0.07192982456140351,1140
clinc150,0.25,123,fixed_k2,known,comparison_only_correct,92,0.08070175438596491,1140
clinc150,0.25,123,fixed_k2,known,both_incorrect,213,0.1868421052631579,1140
clinc150,0.25,123,fixed_k2,oos,both_correct,4258,0.9337719298245614,4560
clinc150,0.25,123,fixed_k2,oos,trainable_only_correct,122,0.02675438596491228,4560
clinc150,0.25,123,fixed_k2,oos,comparison_only_correct,49,0.01074561403508772,4560
clinc150,0.25,123,fixed_k2,oos,both_incorrect,131,0.028728070175438596,4560
clinc150,0.25,123,random_partition,known,both_correct,797,0.6991228070175438,1140
clinc150,0.25,123,random_partition,known,trainable_only_correct,38,0.03333333333333333,1140
clinc150,0.25,123,random_partition,known,comparison_only_correct,98,0.08596491228070176,1140
clinc150,0.25,123,random_partition,known,both_incorrect,207,0.18157894736842106,1140
clinc150,0.25,123,random_partition,oos,both_correct,4254,0.9328947368421052,4560
clinc150,0.25,123,random_partition,oos,trainable_only_correct,126,0.02763157894736842,4560
clinc150,0.25,123,random_partition,oos,comparison_only_correct,12,0.002631578947368421,4560
clinc150,0.25,123,random_partition,oos,both_incorrect,168,0.03684210526315789,4560
clinc150,0.25,123,mogb_minilm,known,both_correct,427,0.37456140350877193,1140
clinc150,0.25,123,mogb_minilm,known,trainable_only_correct,408,0.35789473684210527,1140
clinc150,0.25,123,mogb_minilm,known,comparison_only_correct,7,0.0061403508771929825,1140
clinc150,0.25,123,mogb_minilm,known,both_incorrect,298,0.2614035087719298,1140
clinc150,0.25,123,mogb_minilm,oos,both_correct,4380,0.9605263157894737,4560
clinc150,0.25,123,mogb_minilm,oos,trainable_only_correct,0,0.0,4560
clinc150,0.25,123,mogb_minilm,oos,comparison_only_correct,146,0.032017543859649125,4560
clinc150,0.25,123,mogb_minilm,oos,both_incorrect,34,0.007456140350877193,4560
clinc150,0.25,123,mogb_partition_ours_boundary,known,both_correct,695,0.6096491228070176,1140
clinc150,0.25,123,mogb_partition_ours_boundary,known,trainable_only_correct,140,0.12280701754385964,1140
clinc150,0.25,123,mogb_partition_ours_boundary,known,comparison_only_correct,28,0.02456140350877193,1140
clinc150,0.25,123,mogb_partition_ours_boundary,known,both_incorrect,277,0.24298245614035088,1140
clinc150,0.25,123,mogb_partition_ours_boundary,oos,both_correct,4348,0.9535087719298245,4560
clinc150,0.25,123,mogb_partition_ours_boundary,oos,trainable_only_correct,32,0.007017543859649123,4560
clinc150,0.25,123,mogb_partition_ours_boundary,oos,comparison_only_correct,82,0.017982456140350878,4560
clinc150,0.25,123,mogb_partition_ours_boundary,oos,both_incorrect,98,0.02149122807017544,4560
clinc150,0.25,123,ours_partition_mogb_boundary,known,both_correct,442,0.387719298245614,1140
clinc150,0.25,123,ours_partition_mogb_boundary,known,trainable_only_correct,393,0.3447368421052632,1140
clinc150,0.25,123,ours_partition_mogb_boundary,known,comparison_only_correct,12,0.010526315789473684,1140
clinc150,0.25,123,ours_partition_mogb_boundary,known,both_incorrect,293,0.25701754385964914,1140
clinc150,0.25,123,ours_partition_mogb_boundary,oos,both_correct,4372,0.9587719298245614,4560
clinc150,0.25,123,ours_partition_mogb_boundary,oos,trainable_only_correct,8,0.0017543859649122807,4560
clinc150,0.25,123,ours_partition_mogb_boundary,oos,comparison_only_correct,119,0.026096491228070177,4560
clinc150,0.25,123,ours_partition_mogb_boundary,oos,both_incorrect,61,0.01337719298245614,4560
clinc150,0.5,13,single_centroid,known,both_correct,1599,0.7106666666666667,2250
clinc150,0.5,13,single_centroid,known,trainable_only_correct,78,0.034666666666666665,2250
clinc150,0.5,13,single_centroid,known,comparison_only_correct,182,0.08088888888888889,2250
clinc150,0.5,13,single_centroid,known,both_incorrect,391,0.17377777777777778,2250
clinc150,0.5,13,single_centroid,oos,both_correct,3157,0.9150724637681159,3450
clinc150,0.5,13,single_centroid,oos,trainable_only_correct,182,0.0527536231884058,3450
clinc150,0.5,13,single_centroid,oos,comparison_only_correct,6,0.0017391304347826088,3450
clinc150,0.5,13,single_centroid,oos,both_incorrect,105,0.030434782608695653,3450
clinc150,0.5,13,fixed_k2,known,both_correct,1516,0.6737777777777778,2250
clinc150,0.5,13,fixed_k2,known,trainable_only_correct,161,0.07155555555555555,2250
clinc150,0.5,13,fixed_k2,known,comparison_only_correct,203,0.09022222222222222,2250
clinc150,0.5,13,fixed_k2,known,both_incorrect,370,0.16444444444444445,2250
clinc150,0.5,13,fixed_k2,oos,both_correct,3187,0.923768115942029,3450
clinc150,0.5,13,fixed_k2,oos,trainable_only_correct,152,0.044057971014492756,3450
clinc150,0.5,13,fixed_k2,oos,comparison_only_correct,28,0.008115942028985508,3450
clinc150,0.5,13,fixed_k2,oos,both_incorrect,83,0.024057971014492755,3450
clinc150,0.5,13,random_partition,known,both_correct,1598,0.7102222222222222,2250
clinc150,0.5,13,random_partition,known,trainable_only_correct,79,0.035111111111111114,2250
clinc150,0.5,13,random_partition,known,comparison_only_correct,191,0.08488888888888889,2250
clinc150,0.5,13,random_partition,known,both_incorrect,382,0.16977777777777778,2250
clinc150,0.5,13,random_partition,oos,both_correct,3132,0.9078260869565218,3450
clinc150,0.5,13,random_partition,oos,trainable_only_correct,207,0.06,3450
clinc150,0.5,13,random_partition,oos,comparison_only_correct,5,0.0014492753623188406,3450
clinc150,0.5,13,random_partition,oos,both_incorrect,106,0.03072463768115942,3450
clinc150,0.5,13,mogb_minilm,known,both_correct,703,0.31244444444444447,2250
clinc150,0.5,13,mogb_minilm,known,trainable_only_correct,974,0.4328888888888889,2250
clinc150,0.5,13,mogb_minilm,known,comparison_only_correct,9,0.004,2250
clinc150,0.5,13,mogb_minilm,known,both_incorrect,564,0.25066666666666665,2250
clinc150,0.5,13,mogb_minilm,oos,both_correct,3337,0.9672463768115942,3450
clinc150,0.5,13,mogb_minilm,oos,trainable_only_correct,2,0.0005797101449275362,3450
clinc150,0.5,13,mogb_minilm,oos,comparison_only_correct,77,0.022318840579710144,3450
clinc150,0.5,13,mogb_minilm,oos,both_incorrect,34,0.009855072463768115,3450
clinc150,0.5,13,mogb_partition_ours_boundary,known,both_correct,1192,0.5297777777777778,2250
clinc150,0.5,13,mogb_partition_ours_boundary,known,trainable_only_correct,485,0.21555555555555556,2250
clinc150,0.5,13,mogb_partition_ours_boundary,known,comparison_only_correct,48,0.021333333333333333,2250
clinc150,0.5,13,mogb_partition_ours_boundary,known,both_incorrect,525,0.23333333333333334,2250
clinc150,0.5,13,mogb_partition_ours_boundary,oos,both_correct,3304,0.9576811594202899,3450
clinc150,0.5,13,mogb_partition_ours_boundary,oos,trainable_only_correct,35,0.010144927536231883,3450
clinc150,0.5,13,mogb_partition_ours_boundary,oos,comparison_only_correct,58,0.01681159420289855,3450
clinc150,0.5,13,mogb_partition_ours_boundary,oos,both_incorrect,53,0.01536231884057971,3450
clinc150,0.5,13,ours_partition_mogb_boundary,known,both_correct,932,0.4142222222222222,2250
clinc150,0.5,13,ours_partition_mogb_boundary,known,trainable_only_correct,745,0.33111111111111113,2250
clinc150,0.5,13,ours_partition_mogb_boundary,known,comparison_only_correct,31,0.013777777777777778,2250
clinc150,0.5,13,ours_partition_mogb_boundary,known,both_incorrect,542,0.2408888888888889,2250
clinc150,0.5,13,ours_partition_mogb_boundary,oos,both_correct,3325,0.9637681159420289,3450
clinc150,0.5,13,ours_partition_mogb_boundary,oos,trainable_only_correct,14,0.004057971014492754,3450
clinc150,0.5,13,ours_partition_mogb_boundary,oos,comparison_only_correct,59,0.017101449275362317,3450
clinc150,0.5,13,ours_partition_mogb_boundary,oos,both_incorrect,52,0.015072463768115942,3450
clinc150,0.5,42,single_centroid,known,both_correct,1586,0.7048888888888889,2250
clinc150,0.5,42,single_centroid,known,trainable_only_correct,77,0.03422222222222222,2250
clinc150,0.5,42,single_centroid,known,comparison_only_correct,136,0.060444444444444446,2250
clinc150,0.5,42,single_centroid,known,both_incorrect,451,0.20044444444444445,2250
clinc150,0.5,42,single_centroid,oos,both_correct,3124,0.9055072463768116,3450
clinc150,0.5,42,single_centroid,oos,trainable_only_correct,160,0.0463768115942029,3450
clinc150,0.5,42,single_centroid,oos,comparison_only_correct,11,0.003188405797101449,3450
clinc150,0.5,42,single_centroid,oos,both_incorrect,155,0.04492753623188406,3450
clinc150,0.5,42,fixed_k2,known,both_correct,1492,0.6631111111111111,2250
clinc150,0.5,42,fixed_k2,known,trainable_only_correct,171,0.076,2250
clinc150,0.5,42,fixed_k2,known,comparison_only_correct,153,0.068,2250
clinc150,0.5,42,fixed_k2,known,both_incorrect,434,0.1928888888888889,2250
clinc150,0.5,42,fixed_k2,oos,both_correct,3194,0.9257971014492754,3450
clinc150,0.5,42,fixed_k2,oos,trainable_only_correct,90,0.02608695652173913,3450
clinc150,0.5,42,fixed_k2,oos,comparison_only_correct,65,0.01884057971014493,3450
clinc150,0.5,42,fixed_k2,oos,both_incorrect,101,0.029275362318840578,3450
clinc150,0.5,42,random_partition,known,both_correct,1588,0.7057777777777777,2250
clinc150,0.5,42,random_partition,known,trainable_only_correct,75,0.03333333333333333,2250
clinc150,0.5,42,random_partition,known,comparison_only_correct,147,0.06533333333333333,2250
clinc150,0.5,42,random_partition,known,both_incorrect,440,0.19555555555555557,2250
clinc150,0.5,42,random_partition,oos,both_correct,3123,0.9052173913043479,3450
clinc150,0.5,42,random_partition,oos,trainable_only_correct,161,0.04666666666666667,3450
clinc150,0.5,42,random_partition,oos,comparison_only_correct,11,0.003188405797101449,3450
clinc150,0.5,42,random_partition,oos,both_incorrect,155,0.04492753623188406,3450
clinc150,0.5,42,mogb_minilm,known,both_correct,668,0.29688888888888887,2250
clinc150,0.5,42,mogb_minilm,known,trainable_only_correct,995,0.44222222222222224,2250
clinc150,0.5,42,mogb_minilm,known,comparison_only_correct,8,0.0035555555555555557,2250
clinc150,0.5,42,mogb_minilm,known,both_incorrect,579,0.25733333333333336,2250
clinc150,0.5,42,mogb_minilm,oos,both_correct,3283,0.9515942028985507,3450
clinc150,0.5,42,mogb_minilm,oos,trainable_only_correct,1,0.0002898550724637681,3450
